academic_year,semester,course_code,course_name,course_type,lecture_hours,practical_hours,tutorial_hours,credits,course_dept,teaching_dept,teaching_dept_id,student_dept,Unnamed: 13,lab_description,required_room_type,specific_room_type,room_number,block,room_description
3.0,5.0,EC23531,Digital Signal Processing,LoT,2.0,2.0,1.0,4.0,Electronics & Communication Engineering,Electronics & Communication Engineering,16.0,Electronics & Communication Engineering,,DSP Lab,Core-Lab,LAB,B202,B Block,DSP Lab
2.0,3.0,FT23312,Biochemistry and Nutrition Laboratory,L,0.0,4.0,0.0,2.0,Food Technology,Food Technology,18.0,Food Technology,,Food Chemistry Lab,Core-Lab,LAB,DG,D Block,Food Chemistry Lab
1.0,1.0,EC23131,Electron Devices,LoT,3.0,2.0,0.0,4.0,Electronics & Communication Engineering,Electronics & Communication Engineering,16.0,Electronics & Communication Engineering,,Engineering Practices Lab (Electronics),Core-Lab,LAB,WS MECH FF6,C Block,Engineering Practices Lab (Electronics)
3.0,5.0,BT23521,Bioprocess Laboratory- I,L,0.0,4.0,0.0,2.0,Biotechnology,Biotechnology,7.0,Biotechnology,,Downstream Processing Lab,Core-Lab,LAB,B Second Floor,B Block,Downstream Processing Lab
2.0,3.0,BT23321,Basic Food and Enzyme Technology Laboratory,L,0.0,2.0,0.0,1.0,Biotechnology,Biotechnology,7.0,Biotechnology,,Biochemistry Lab,Core-Lab,LAB,B First Floor,B Block,Biochemistry Lab
2.0,3.0,BT23331,Analytical Techniques in Biotechnology,LoT,2.0,2.0,0.0,3.0,Biotechnology,Biotechnology,7.0,Biotechnology,,Technical Analysis Lab,Core-Lab,LAB,B Ground Floor,B Block,Technical Analysis Lab
1.0,1.0,BT23131,Microbiology,LoT,2.0,4.0,0.0,4.0,Biotechnology,Biotechnology,7.0,Biotechnology,,Microbiology Lab,Core-Lab,LAB,B First Floor,B Block,Microbiology Lab
4.0,7.0,AT19713,Project Phase I,L,0.0,4.0,0.0,2.0,Automobile Engineering,Automobile Engineering,5.0,Automobile Engineering,,Vehicle Maintenance Lab,Core-Lab,LAB,WS AUTO GF1,Workshop,Vehicle Maintenance Lab
4.0,7.0,AT19721,Vehicle Maintenance Laboratory,L,0.0,2.0,0.0,1.0,Automobile Engineering,Automobile Engineering,5.0,Automobile Engineering,,Vehicle Maintenance Lab,Core-Lab,LAB,WS AUTO GF1,Workshop,Vehicle Maintenance Lab
4.0,7.0,AT19722,Computer Aided Analysis Laboratory,L,0.0,2.0,0.0,1.0,Automobile Engineering,Automobile Engineering,5.0,Automobile Engineering,,,Core-Lab,LAB,TANCAM,Arch Block,
4.0,7.0,AT19723,Comprehension,L,0.0,2.0,0.0,0.0,Automobile Engineering,Automobile Engineering,5.0,Automobile Engineering,,Vehicle Maintenance Lab,Core-Lab,LAB,WS AUTO GF1,Workshop,Vehicle Maintenance Lab
3.0,5.0,AT23521,Two and Three wheelers Laboratory,L,0.0,2.0,0.0,1.0,Automobile Engineering,Automobile Engineering,5.0,Automobile Engineering,,Automotive Components Lab,Core-Lab,LAB,WS AUTO GF2,Workshop,Automotive Components Lab
2.0,3.0,CE23321,Construction Materials Laboratory,L,0.0,4.0,0.0,2.0,Civil Engineering,Civil Engineering,10.0,Civil Engineering,,Concrete & Survey Lab,Core-Lab,LAB,WS CIVIL 1,C Block,Concrete & Survey Lab
3.0,5.0,CE23521,Water and Waste Water Analysis Laboratory,L,0.0,4.0,0.0,2.0,Civil Engineering,Civil Engineering,10.0,Civil Engineering,,Chemistry Lab,Core-Lab,LAB,D503,D Block,Chemistry Lab
2.0,3.0,CE23331,Surveying,LoT,3.0,2.0,0.0,4.0,Civil Engineering,Civil Engineering,10.0,Civil Engineering,,Soil Mechanics & Highway Lab,Core-Lab,LAB,WS CIVIL 2,C Block,Soil Mechanics & Highway Lab
2.0,5.0,AE23531,Aircraft Structures - II,LoT,2.0,2.0,1.0,4.0,Aeronautical Engineering,Aeronautical Engineering,2.0,Aeronautical Engineering,,Aircraft Structures Lab,Core-Lab,LAB,WS Aero FF2,Workshop,Aircraft Structures Lab
2.0,3.0,AE23321,Computer Aided Modelling Laboratory,L,0.0,4.0,0.0,2.0,Aeronautical Engineering,Aeronautical Engineering,2.0,Aeronautical Engineering,,Aero CAD Lab,Core-Lab,LAB,CG006,C Block,Aero CAD Lab
2.0,3.0,AE23333,Aero Engineering Thermodynamics,LoT,2.0,2.0,1.0,4.0,Aeronautical Engineering,Aeronautical Engineering,2.0,Aeronautical Engineering,,Thermal Lab 2,Core-Lab,LAB,WS MECH TL,C Block,Thermal Lab 2
